ID,A1,A2,A3,B1,B2,B3,C1,C2,C3
PaeAG1_00114,8,4,2,4,3,5,2,4,4
PaeAG1_00115,19,12,7,10,12,14,8,17,13
PaeAG1_00116,2,1,1,1,1,1,1,1,1
PaeAG1_00117,1,1,0,4,5,4,2,3,4
PaeAG1_00118,1,0,0,3,3,3,2,2,3
PaeAG1_00119,1,0,0,2,2,2,1,1,2
PaeAG1_00120,7,3,3,11,12,11,5,9,10
PaeAG1_00121,9,5,4,13,13,13,5,10,13
PaeAG1_00122,12,8,5,27,27,19,9,23,33
PaeAG1_00123,0,0,0,2,2,1,1,1,2
PaeAG1_00124,0,0,0,0,0,0,0,0,1
PaeAG1_00125,4,2,3,2,2,2,1,2,2
PaeAG1_00126,14,6,9,2,2,2,1,3,3
PaeAG1_00127,3,2,1,1,1,1,1,1,1
PaeAG1_00128,3,2,1,2,2,2,1,2,2
PaeAG1_00129,0,0,0,0,0,0,0,0,0
PaeAG1_00130,1,0,0,1,1,1,0,0,1
PaeAG1_00131,1,0,0,1,1,1,0,1,1
PaeAG1_00132,2,1,1,2,2,2,1,2,2
PaeAG1_00133,1,1,0,1,1,1,0,1,1
PaeAG1_00134,7,5,3,10,11,9,11,28,33
PaeAG1_00135,1,1,0,2,1,2,1,2,2
PaeAG1_00136,10,6,4,12,8,15,8,16,15
PaeAG1_00137,2,1,1,2,2,3,1,3,3
PaeAG1_00138,1,1,1,0,0,1,0,1,0
PaeAG1_00139,2,1,1,1,1,1,1,1,1
PaeAG1_00140,9,4,6,3,4,5,2,3,3
PaeAG1_00141,10,4,2,1,1,1,1,1,1
PaeAG1_00142,66,35,19,5,3,5,4,5,4
PaeAG1_00143,0,0,0,0,0,0,0,0,0
PaeAG1_00144,86,49,41,8,7,8,7,8,7
PaeAG1_00145,3,2,1,3,2,2,1,2,3
PaeAG1_00146,3,2,1,2,1,2,1,3,3
PaeAG1_00147,0,0,0,0,0,0,0,1,0
PaeAG1_00148,0,0,0,0,0,0,0,0,0
PaeAG1_00149,0,0,0,0,0,0,0,0,0
PaeAG1_00150,2,1,1,1,1,1,0,1,1
PaeAG1_00151,75,36,30,51,41,40,21,38,36
PaeAG1_00152,22,11,5,6,5,8,3,8,7
PaeAG1_00153,14,8,4,2,2,2,2,3,3
PaeAG1_00154,0,0,0,0,0,0,0,1,1
PaeAG1_00155,3,1,1,1,1,2,1,2,2
PaeAG1_00156,1,0,0,0,0,0,0,0,1
PaeAG1_00157,2,2,1,1,1,1,1,1,1
PaeAG1_00158,1,0,0,0,0,0,0,0,0
PaeAG1_00159,1,0,0,0,1,1,0,1,1
PaeAG1_00160,4,2,2,3,2,3,1,2,2
PaeAG1_00161,3,2,1,1,2,3,1,2,3
PaeAG1_00162,0,0,0,0,0,0,0,0,0
PaeAG1_00163,0,0,0,0,0,0,0,0,0
PaeAG1_00164,3,1,1,2,1,1,1,1,2
PaeAG1_00165,2,1,0,1,1,1,1,1,1
PaeAG1_00166,2,1,1,1,1,1,0,1,1
PaeAG1_00167,1,0,0,0,0,0,0,0,0
PaeAG1_00168,8,5,2,7,6,8,5,8,10
PaeAG1_00169,10,7,3,7,5,8,4,8,8
PaeAG1_00170,2,1,1,3,2,2,1,2,2
PaeAG1_00171,2,1,1,2,2,2,1,2,2
PaeAG1_00172,2,1,1,2,1,2,1,2,2
PaeAG1_00173,1,1,0,1,0,1,0,1,1
PaeAG1_00174,2,1,0,0,1,1,0,1,1
PaeAG1_00175,1,0,0,0,0,0,0,0,0
PaeAG1_00176,2,1,1,0,0,1,0,0,0
PaeAG1_00177,0,0,0,0,0,0,0,0,0
PaeAG1_00178,2,2,1,1,1,2,1,2,1
PaeAG1_00179,1,1,0,1,0,1,0,1,1
PaeAG1_00180,4,2,1,2,1,3,1,3,2
PaeAG1_00181,3,2,1,1,1,2,1,2,1
PaeAG1_00182,3,1,1,1,1,2,1,2,1
PaeAG1_00183,3,2,1,1,1,1,1,1,1
PaeAG1_00184,3,1,1,0,0,0,0,0,0
PaeAG1_00185,4,2,1,0,0,1,0,0,1
PaeAG1_00186,10,4,3,1,1,1,1,1,1
PaeAG1_00187,20,9,5,2,3,3,1,2,3
PaeAG1_00188,281,154,104,69,75,81,23,49,68
PaeAG1_00189,23,10,5,4,4,5,2,4,4
PaeAG1_00190,79,34,26,23,22,30,12,23,27
PaeAG1_00191,11,5,5,2,3,4,2,4,3
PaeAG1_00192,3,1,1,2,2,2,1,2,2
PaeAG1_00193,1,0,0,0,0,0,0,1,1
PaeAG1_00194,1,0,0,1,0,0,0,0,0
PaeAG1_00195,1,1,0,1,1,1,0,1,1
PaeAG1_00196,0,0,0,0,0,0,0,0,0
PaeAG1_00197,1,0,0,1,0,0,0,0,1
PaeAG1_00198,2,1,1,1,1,1,0,1,1
PaeAG1_00199,0,0,0,0,0,0,0,0,0
PaeAG1_00200,0,0,0,0,0,0,0,0,0
PaeAG1_00201,0,0,0,0,0,0,0,0,0
PaeAG1_00202,1,1,0,1,1,1,0,1,1
PaeAG1_00203,0,0,0,0,0,0,0,0,0
PaeAG1_00204,0,0,0,0,0,0,0,0,0
PaeAG1_00205,1,1,0,1,0,0,0,0,1
PaeAG1_00206,3,1,1,3,3,3,1,3,3
PaeAG1_00207,0,0,0,0,0,0,0,0,0
PaeAG1_00208,1,1,1,2,2,2,1,1,2
PaeAG1_00209,1,0,0,0,0,0,0,0,0
PaeAG1_00210,2,1,1,1,1,1,0,1,1
PaeAG1_00211,4,2,1,3,2,2,1,2,3
PaeAG1_00212,15,7,5,14,11,12,5,9,14
PaeAG1_00213,2,1,1,1,1,1,0,1,2
PaeAG1_00214,0,0,0,0,0,0,0,0,0
PaeAG1_00215,2,1,0,1,1,1,1,2,4
PaeAG1_00216,38,23,6,13,17,14,17,31,50
PaeAG1_00217,30,18,4,9,10,9,15,28,30
PaeAG1_00218,2,2,0,1,1,1,2,3,3
PaeAG1_00219,9,7,1,4,4,2,5,10,12
PaeAG1_00220,5,3,2,3,2,3,3,4,6
PaeAG1_00221,3,1,1,1,1,2,1,3,3
PaeAG1_00222,1,0,0,0,0,0,1,1,1
PaeAG1_00223,1,1,0,0,0,0,0,1,1
PaeAG1_00224,1,0,0,1,1,1,0,1,1
PaeAG1_00225,0,0,0,0,0,0,0,0,0
PaeAG1_00226,0,0,0,0,0,0,0,0,0
PaeAG1_00227,0,0,0,0,0,0,0,0,0
PaeAG1_00228,0,0,0,0,0,0,0,0,0
PaeAG1_00229,0,0,0,0,0,0,0,0,0
PaeAG1_00230,1,1,1,1,1,1,0,1,1
PaeAG1_00231,1,1,0,0,0,1,0,1,0
PaeAG1_00232,4,2,1,1,1,1,1,1,1
PaeAG1_00233,4,3,0,2,2,3,1,2,4
PaeAG1_00234,1,1,0,0,0,1,0,0,1
PaeAG1_00235,1,0,0,0,0,1,0,1,1
PaeAG1_00236,1,1,0,1,1,1,0,1,1
PaeAG1_00237,1,1,0,1,1,1,0,1,1
PaeAG1_00238,1,1,0,1,1,1,1,1,1
PaeAG1_00239,1,1,0,1,0,1,0,1,1
PaeAG1_00240,0,0,0,0,0,0,0,0,0
PaeAG1_00241,0,0,0,0,0,0,0,0,0
PaeAG1_00242,0,0,0,0,0,0,0,1,0
PaeAG1_00243,0,0,0,0,0,0,0,0,0
PaeAG1_00244,1,1,0,1,1,2,1,2,2
